id,train1,test1,train2,test2,test1_object1,test1_object1_confidence,test1_object2,test1_object2_confidence,test1_memCheck1,test1_memCheck1_confidence,test1_memCheck2,test1_memCheck2_confidence,test1_memCheck_base,test1_memCheck_base_confidence,test1_memCheck_feature,test1_memCheck_feature_confidence,distractor_output,test2_object1,test2_object1_confidence,test2_object2,test2_object2_confidence,test2_memCheck1,test2_memCheck1_confidence,test2_memCheck2,test2_memCheck2_confidence,test2_memCheck3,test2_memCheck3_confidence,test2_memCheck4,test2_memCheck4_confidence,test2_memCheck_base,test2_memCheck_base_confidence,test2_memCheck_feature,test2_memCheck_feature_confidence,open-ended definition
1,1A,PD,1Aa,PT,yes,60,yes,55,2,90,1,90,1,95,2,40,"ORDER: 3,2,3,3,4,2,4,4,2

R,R,1,0;L,L,1,0;Y,Y,1,0;
S,T,0,1;F,F,1,0;Q,Q,1,1;
K,K,1,1;J,J,1,1;J,J,1,1;
Q,Q,1,1;S,S,1,1;
R,Q,0,1;S,R,0,0;F,F,1,0;
J,J,1,1;N,N,1,1;Q,Q,1,1;
H,H,1,1;S,N,0,1;J,J,1,1;S,S,1,1;
J,J,1,1;N,N,1,1;
T,T,1,0;Q,Q,1,1;Q,Q,1,1;F,F,1,1;
H,H,1,1;R,R,1,1;L,L,1,1;T,T,1,1;
J,J,1,1;J,J,1,1;

RESULTS: n=27, acc=89%, PU=0.90, PL=0.89, FU=0.78, FL=0.74",no,60,no,60,1,90,2,90,3,90,4,90,1,90,2,70,
2,1B,PD,1Ab,PT,no,60,yes,80,1,80,2,80,2,80,2,80,"ORDER: 4,4,3,2,3,3,4,2,2

F,F,1,0;K,K,1,0;J,J,1,0;
T,T,1,1;S,S,1,1;Y,Y,1,1;
H,H,1,1;T,T,1,1;P,P,1,1;J,J,1,1;
Y,Y,1,0;F,F,1,1;T,T,1,1;P,P,1,1;
J,J,1,1;P,P,1,1;Y,Y,1,1;
Y,Y,1,1;J,J,1,1;
T,T,1,1;J,J,1,0;T,T,1,1;
J,J,1,1;T,T,1,1;J,J,1,1;
J,J,1,0;T,T,1,1;P,P,1,1;K,K,1,0;
F,J,0,1;N,N,1,0;
Y,Y,1,1;L,L,1,1;

RESULTS: n=27, acc=81%, PU=0.94, PL=0.96, FU=0.89, FL=0.93",yes,60,no,80,1,50,2,50,4,50,3,50,2,80,3,50,
3,1C,PD,1Ac,PT,yes,50,yes,50,1,70,2,70,1,99,2,70,"ORDER: 3,2,2,4,2,4,3,3,4

Y,Y,1,0;S,S,1,0;H,H,1,0;
L,L,1,1;S,S,1,1;J,J,1,1;
J,J,1,1;S,S,1,1;R,R,1,1;
P,J,0,1;N,R,0,1;
P,P,1,1;H,H,1,0;
R,R,1,1;R,R,1,1;L,H,0,1;P,P,1,1;
H,H,1,1;Y,Y,1,1;
L,L,1,1;L,H,0,1;T,T,1,1;J,J,1,1;
S,S,1,1;P,P,1,1;K,K,1,0;
Q,P,0,0;P,Q,0,1;K,K,1,1;
Q,Q,1,1;P,P,1,1;N,N,1,1;F,F,1,1;

RESULTS: n=27, acc=89%, PU=0.76, PL=0.78, FU=0.56, FL=0.52",yes,60,no,90,3,99,1,99,4,99,2,99,1,99,1,99,
4,1D,PD,1Ad,PT,no,95,yes,95,2,100,1,100,both,65,both,50,"ORDER: 3,4,2,2,2,4,3,3,4

F,F,1,0;J,J,1,0;P,P,1,0;
L,L,1,1;R,R,1,1;Y,Y,1,1;
R,R,1,1;L,L,1,1;R,R,1,1;
K,K,1,1;T,T,1,1;K,K,1,1;P,P,1,1;
H,H,1,1;H,H,1,0;
L,L,1,1;F,F,1,0;
P,F,0,0;R,R,1,1;
Q,Q,1,1;S,S,1,1;S,S,1,1;Q,Q,1,1;
J,J,1,1;K,K,1,1;Q,Q,1,1;
S,S,1,1;F,F,1,1;J,J,1,1;
S,S,1,1;T,T,1,1;F,F,1,1;R,R,1,1;

RESULTS: n=27, acc=89%, PU=0.94, PL=0.96, FU=0.89, FL=0.93",yes,70,no,99,4,100,3,100,2,100,1,100,1,100,1,100,"""the object or shape that is inside the object"""
5,1A,YC,1Ba,PT,no,75,no,60,2,100,1,100,1,100,1,100,"ORDER: 3,2,2,4,4,4,2,3,3

N,N,1,0;R,R,1,0;L,L,1,0;
J,J,1,1;P,P,1,1;Q,Q,1,1;
R,R,1,1;S,S,1,1;N,J,0,1;
P,Q,0,1;H,P,0,1;
N,N,1,1;L,L,1,1;
Y,Y,1,1;F,F,1,1;Y,Y,1,1;P,P,1,0;
Y,Y,1,1;P,P,1,0;H,H,1,1;H,H,1,1;
S,S,1,1;P,P,1,1;J,J,1,1;K,K,1,1;
F,F,1,1;N,N,1,1;
R,R,1,1;F,F,1,1;T,T,1,1;
H,H,1,1;J,J,1,1;S,S,1,1;

RESULTS: n=27, acc=93%, PU=0.85, PL=0.89, FU=0.78, FL=0.81",no,90,yes,50,2,100,1,100,3,100,4,100,1,100,2,100,"""shapes and colors!"""
6,1B,YC,1Bb,PT,no,30,yes,30,1,50,1,50,1,50,1,40,"ORDER: 4,2,4,3,3,2,4,3,2

H,H,1,0;R,R,1,0;S,S,1,0;
Q,Q,1,0;F,S,0,1;K,K,1,1;
N,N,1,0;P, ,0,1;Q,Q,1,1;Y, ,0,1;
S,S,1,1;J,J,1,1;
T,T,1,1;P,P,1,1;T,T,1,1;J,J,1,1;
L,L,1,1;Q,Q,1,0;J,J,1,0;
R,R,1,1;S,S,1,1;S,S,1,0;
P,P,1,1;N,N,1,1;
F,F,1,1;F,F,1,1;N,N,1,1;R,R,1,1;
L,F,0,1;F,L,0,1;H,H,1,1;
K,K,1,1;R,R,1,1;

RESULTS: n=27, acc=85%, PU=0.87, PL=0.85, FU=0.78, FL=0.74",no,30,yes,30,1,70,4,70,2,70,3,70,1,80,2,80,"""it's probably based on the object inside that makes something a blicket"""
7,1C,YC,1Bc,PT,no,60,no,40,1,100,2,100,1,20,2,30,"ORDER: 4,4,3,4,2,2,3,3,2

K,K,1,0;J,J,1,0;K,K,1,0;
J,J,1,1;R,R,1,1;K,K,1,1;
N,J,0,1;N,N,1,1;J,J,1,1;H,H,1,1;
P,P,1,1;L,L,1,0;R,R,1,1;N,N,1,0;
Y,Y,1,1;K,K,1,1;H,H,1,1;
S,S,1,0;L,L,1,1;R,R,1,0;Y,Y,1,1;
Y,Y,1,1;P,P,1,1;
N,N,1,1;R,R,1,1;
J,J,1,1;R,R,1,1;P,P,1,1;
R,R,1,1;N,N,1,1;R,R,1,1;
T,T,1,1;Q,Q,1,1;

RESULTS: n=27, acc=85%, PU=0.97, PL=0.96, FU=0.89, FL=0.85",yes,40,yes,40,3,100,2,50,4,80,1,80,1,100,3,,"""warm colors"""
8,1D,YC,1Bd,PT,yes,58,no,58,2,80,1,80,1,70,1,60,"ORDER: 2,2,2,3,4,3,4,3,4

J,J,1,0;P,P,1,0;N,N,1,0;
H,H,1,1;S,S,1,1;Y,Y,1,1;
R,R,1,0;Q,Q,1,0;
K,K,1,0;Q,Q,1,1;
Y,Y,1,1;J,J,1,1;
F,F,1,1;L,L,1,1;Q,Q,1,1;
T,T,1,1;P,P,1,1;Y,Y,1,1;Q,Q,1,1;
F,F,1,1;L,L,1,1;F,F,1,1;
L,L,1,1;Y,Y,1,1;S,S,1,1;F,F,1,1;
N,N,1,1;R, ,0,0;F,F,1,0;
K,K,1,0;T,T,1,0;L,L,1,1;H,H,1,0;

RESULTS: n=27, acc=70%, PU=0.96, PL=0.96, FU=0.89, FL=0.89",no,60,yes,60,4,80,3,80,1,80,2,80,1,80,2,60,"""objects that are associated with other objects that are blickets are also blickets"""
9,2A,PD,1Aa,GL,no,60,no,30,2,90,1,90,2,90,2,90,"ORDER: 2,4,4,3,4,2,3,3,2

J,J,1,0;P,P,1,0;N,N,1,0;
L,L,1,1;N,N,1,0;S,S,1,0;
P,L,0,1;Q,Q,1,0;
Q,Q,1,1;Q,Q,1,1;T,T,1,1;L,L,1,1;
F,F,1,1;K,K,1,1;L,L,1,1;L,L,1,1;
T,T,1,1;T,T,1,1;Y,Y,1,0;
Y,Y,1,1;K,K,1,1;K,K,1,1;R,R,1,1;
F,F,1,1;L,L,1,1;
Y,Y,1,1;S,S,1,1;J,J,1,0;
S,S,1,1;Q,Q,1,1;F,F,1,1;
F,F,1,1;F,F,1,1;

RESULTS: n=27, acc=89%, PU=0.94, PL=0.96, FU=0.89, FL=0.93",no,65,yes,50,1,90,2,90,3,90,4,90,1,90,1,90,"""there's a smaller shape inside an object that determines if th eobject is a blicket, and non-primary colors seem to be blicket objects"""
10,2B,PD,1Ab,GL,no,35,yes,50,1,100,2,100,2,100,2,75,"ORDER: 3,2,4,4,4,3,3,2,2

Q,Q,1,0;T,T,1,0;P,P,1,0;
J,J,1,1;Y,Y,1,1;P,P,1,1;
L,L,1,1;Y,Y,1,1;K,K,1,1;
L,L,1,1;L,L,1,1;
F,F,1,1;P,K,0,1;R,R,1,0;T,T,1,1;
R,R,1,1;T,T,1,1;H,K,0,1;R,R,1,0;
Y,Y,1,1;F,F,1,1;R,R,1,1;Y,Y,1,1;
L,L,1,1;J,J,1,1;Y,Y,1,1;
L,L,1,1;T,T,1,1;H,H,1,1;
S,S,1,1;H,H,1,1;
F,F,1,1;P,P,1,1;

RESULTS: n=27, acc=93%, PU=0.94, PL=0.93, FU=0.78, FL=0.70",no,65,yes,35,2,100,4,100,1,100,3,100,1,100,1,100,"""matching shape (sharp vs rounded). What's on the inside (rounded shape). Green rounded square w/ yellow circle, orange cross + pink cone"""
