"id","gender","age","task_order","task_type","training_order","task_con","object1","object1_confidence","object1_confidence_norm","object1_response","object2","object2_confidence","object2_confidence_norm","object2_response","response_cat","mem_check","soc_check","binary_correct","total_confidence","object1_probability","object2_probability","forced_choice","forced_response","correct_object_confidence_norm","incorrect_object_confidence_norm"
1,"female",19,"simple_first","simple","causal_first","1APD","yes",60,60,"correct","yes",55,55,"incorrect","soc_incorrect","pass","incorrect","object1",115,0.521739130434783,0.478260869565217,"object1","soc_correct",60,55
1,"female",19,"simple_first","highmem","causal_first","1AaPT","no",60,40,"incorrect","no",40,60,"correct","soc_incorrect","pass","incorrect","object1",100,0.6,0.4,"object2","soc_incorrect",40,60
3,"male",21,"simple_first","simple","causal_first","1CPD","yes",50,50,"incorrect","yes",50,50,"correct","soc_incorrect","pass","correct","object2",100,0.5,0.5,NA,"soc_incorrect",50,50
3,"male",21,"simple_first","highmem","causal_first","1AcPT","yes",60,60,"correct","no",10,90,"correct","soc_correct","pass","correct","object1",70,0.857142857142857,0.142857142857143,NA,"soc_correct",60,90
4,"male",20,"simple_first","highmem","causal_first","1AdPT","yes",70,70,"correct","no",1,99,"correct","soc_correct","pass","correct","object1",71,0.985915492957746,0.0140845070422535,NA,"soc_correct",70,99
5,"female",19,"simple_first","simple","causal_first","1AYC","no",75,25,"correct","no",60,40,"incorrect","soc_incorrect","pass","correct","object2",135,0.555555555555556,0.444444444444444,"object2","soc_correct",40,25
5,"female",19,"simple_first","highmem","causal_first","1BaPT","no",90,10,"correct","yes",50,50,"correct","soc_correct","pass","correct","object2",140,0.642857142857143,0.357142857142857,NA,"soc_correct",50,10
6,"female",19,"simple_first","highmem","causal_first","1BbPT","no",30,70,"correct","yes",30,30,"correct","soc_correct","pass","correct","object2",60,0.5,0.5,NA,"soc_correct",30,70
7,"female",21,"simple_first","simple","causal_first","1CYC","no",60,40,"incorrect","no",40,60,"correct","soc_incorrect","pass","correct","object1",100,0.6,0.4,"object2","soc_incorrect",40,60
7,"female",21,"simple_first","highmem","causal_first","1BcPT","yes",40,40,"incorrect","yes",40,40,"correct","soc_incorrect","pass","incorrect","object2",80,0.5,0.5,NA,"soc_incorrect",40,40
8,"female",19,"simple_first","simple","causal_first","1DYC","yes",58,58,"correct","no",58,42,"correct","soc_correct","pass","incorrect","object1",116,0.5,0.5,NA,"soc_correct",58,42
8,"female",19,"simple_first","highmem","causal_first","1BdPT","no",60,40,"correct","yes",60,60,"correct","soc_correct","pass","correct","object2",120,0.5,0.5,NA,"soc_correct",60,40
9,"female",19,"simple_first","simple","causal_first","2APD","no",60,40,"correct","no",30,70,"incorrect","soc_incorrect","pass","correct","object2",90,0.666666666666667,0.333333333333333,"object2","soc_correct",70,40
9,"female",19,"simple_first","highmem","causal_first","1AaGL","no",65,35,"correct","yes",50,50,"correct","soc_correct","pass","correct","object2",115,0.565217391304348,0.434782608695652,NA,"soc_correct",50,35
10,"female",20,"simple_first","simple","causal_first","2BPD","no",35,65,"correct","yes",50,50,"correct","soc_correct","pass","correct","object2",85,0.411764705882353,0.588235294117647,NA,"soc_correct",50,65
10,"female",20,"simple_first","highmem","causal_first","1AbGL","no",65,35,"correct","yes",35,35,"correct","soc_correct","pass","correct","object2",100,0.65,0.35,NA,"soc_correct",35,35
11,"female",18,"simple_first","simple","causal_first","2CPD","yes",50,50,"correct","no",50,50,"correct","soc_correct","pass","correct","object1",100,0.5,0.5,NA,"soc_correct",50,50
11,"female",18,"simple_first","highmem","causal_first","1AcGL","no",55,45,"correct","yes",55,55,"correct","soc_correct","pass","correct","object2",110,0.5,0.5,NA,"soc_correct",55,45
12,"female",18,"simple_first","simple","causal_first","2DPD","yes",80,80,"correct","no",80,20,"correct","soc_correct","pass","correct","object1",160,0.5,0.5,NA,"soc_correct",80,20
12,"female",18,"simple_first","highmem","causal_first","1AdGL","no",75,25,"correct","yes",60,60,"correct","soc_correct","pass","correct","object2",135,0.555555555555556,0.444444444444444,NA,"soc_correct",60,25
13,"female",19,"simple_first","simple","causal_first","2AYC","no",50,50,"incorrect","no",75,25,"correct","soc_incorrect","pass","correct","object1",125,0.4,0.6,"object1","soc_correct",50,25
13,"female",19,"simple_first","highmem","causal_first","1BaGL","no",40,60,"incorrect","no",45,55,"correct","soc_incorrect","pass","correct","object1",85,0.470588235294118,0.529411764705882,"object1","soc_correct",60,55
14,"female",20,"simple_first","simple","causal_first","2BYC","no",50,50,"incorrect","no",70,30,"correct","soc_incorrect","pass","correct","object1",120,0.416666666666667,0.583333333333333,"object1","soc_correct",50,30
14,"female",20,"simple_first","highmem","causal_first","1BbGL","yes",70,70,"correct","no",30,70,"correct","soc_correct","pass","correct","object1",100,0.7,0.3,NA,"soc_correct",70,70
15,"female",18,"simple_first","highmem","causal_first","1BcGL","yes",80,80,"correct","no",20,80,"correct","soc_correct","pass","correct","object1",100,0.8,0.2,NA,"soc_correct",80,80
16,"male",21,"simple_first","highmem","causal_first","1BdGL","no",40,60,"incorrect","no",60,40,"correct","soc_incorrect","pass","correct","object1",100,0.4,0.6,"object1","soc_correct",60,40
17,"female",18,"simple_first","simple","noncausal_first","A1PD","yes",45,45,"correct","no",50,50,"correct","soc_correct","pass","correct","object1",95,0.473684210526316,0.526315789473684,NA,"soc_correct",45,50
17,"female",18,"simple_first","highmem","causal_first","2AaPT","no",50,50,"correct","yes",50,50,"correct","soc_correct","pass","correct","object2",100,0.5,0.5,NA,"soc_correct",50,50
18,"male",21,"simple_first","simple","noncausal_first","B1PD","yes",60,60,"correct","yes",50,50,"incorrect","soc_incorrect","pass","correct","object1",110,0.545454545454545,0.454545454545455,"object1","soc_correct",60,50
18,"male",21,"simple_first","highmem","causal_first","2AbPT","no",65,35,"correct","yes",50,50,"correct","soc_correct","pass","correct","object2",115,0.565217391304348,0.434782608695652,NA,"soc_correct",50,35
19,"male",18,"simple_first","simple","noncausal_first","C1PD","no",78,22,"correct","yes",70,70,"correct","soc_correct","pass","correct","object2",148,0.527027027027027,0.472972972972973,NA,"soc_correct",70,22
19,"male",18,"simple_first","highmem","causal_first","2AcPT","no",79,21,"correct","yes",75,75,"correct","soc_correct","pass","correct","object2",154,0.512987012987013,0.487012987012987,NA,"soc_correct",75,21
21,"male",19,"simple_first","simple","noncausal_first","A1YC","no",90,10,"correct","no",80,20,"incorrect","soc_incorrect","pass","correct","object2",170,0.529411764705882,0.470588235294118,"object2","soc_correct",20,10
21,"male",19,"simple_first","highmem","causal_first","2BaPT","no",90,10,"incorrect","no",20,80,"correct","soc_incorrect","pass","correct","object1",110,0.818181818181818,0.181818181818182,"object2","soc_incorrect",10,80
22,"female",20,"simple_first","simple","noncausal_first","B1YC","no",90,10,"correct","yes",55,55,"correct","soc_correct","pass","correct","object2",145,0.620689655172414,0.379310344827586,NA,"soc_correct",55,10
23,"male",18,"simple_first","simple","noncausal_first","C1YC","no",30,70,"incorrect","no",50,50,"correct","soc_incorrect","pass","correct","object1",80,0.375,0.625,"object1","soc_correct",70,50
